Rk,Pk,Tm,Player,Pos,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
51,51,NYK,Thanasis Antetokounmpo\antetth01,SF,,1,2,6,6,1,0,0.75,0,,3,3,0.5,0,0,0.291,-4.1,0
52,52,PHI,Vasilije Micic\micicva01,PG,,,,,,,,,,,,,,,,,,
53,53,MIN,Alessandro Gentile\gential01,SF,,,,,,,,,,,,,,,,,,
54,54,PHI,Nemanja Dangubic\dangune01,SG,,,,,,,,,,,,,,,,,,
55,55,MIA,Semaj Christon\chrisse01,PG,Xavier University,1,64,973,183,87,130,0.345,0.19,0.548,15.2,2.9,1.4,2,0.1,0.006,-6.3,-1.1
56,56,DEN,Roy Devyn Marble\marblde01,SG,University of Iowa,2,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5,-0.3
57,57,IND,Louis Labeyrie\labeylo01,PF,,,,,,,,,,,,,,,,,,
58,58,SAS,Jordan McRae\mcraejo01,SG,University of Tennessee,3,86,912,420,101,74,0.427,0.352,0.784,10.6,4.9,1.2,0.9,1,0.051,-5,-0.7
59,59,TOR,Xavier Thames\thamexa01,PG,San Diego State University,,,,,,,,,,,,,,,,,
60,60,SAS,Cory Jefferson\jeffeco01,PF,Baylor University,2,58,581,205,161,16,0.444,0.125,0.583,10,3.5,2.8,0.3,0.9,0.071,-4.6,-0.4
