No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Dwayne Bacon\bacondw01,SG,6-7,221,August 30 1995,us,R,Florida State University
5,Nicolas Batum\batumni01,SG,6-8,200,December 14 1988,fr,9,
10,Michael Carter-Williams\cartemi01,PG,6-6,190,October 10 1991,us,4,Syracuse University
21,Treveon Graham\grahatr01,SG,6-5,225,October 28 1993,us,1,Virginia Commonwealth University
41,Willy Hernangomez\hernawi01,C,6-11,240,May 27 1994,es,1,
12,Dwight Howard\howardw01,C,6-11,265,December 8 1985,us,13,
44,Frank Kaminsky\kaminfr01,PF,7-0,242,April 4 1993,us,2,University of Wisconsin
14,Michael Kidd-Gilchrist\kiddgmi01,SF,6-7,232,September 26 1993,us,5,University of Kentucky
3,Jeremy Lamb\lambje01,SG,6-5,185,May 30 1992,us,5,University of Connecticut
9,Mangok Mathiang\mathima01,C,6-10,230,October 8 1992,au,R,University of Louisville
1,Malik Monk\monkma01,SG,6-3,200,February 4 1998,us,R,University of Kentucky
8,Johnny O'Bryant\obryajo01,PF,6-9,257,June 1 1993,us,3,Louisiana State University
4,Marcus Paige\paigema01,PG,6-1,175,September 11 1993,us,R,University of North Carolina
32,Julyan Stone\stoneju01,SG,6-6,200,December 7 1988,us,3,University of Texas at El Paso
15,Kemba Walker\walkeke02,PG,6-1,184,May 8 1990,us,6,University of Connecticut
2,Marvin Williams\willima02,PF,6-9,237,June 19 1986,us,12,University of North Carolina
40,Cody Zeller\zelleco01,C,7-0,240,October 5 1992,us,4,Indiana University
