No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
57,Hilton Armstrong\armsthi01,C,6-11,235,November 11 1984,us,5,University of Connecticut
40,Harrison Barnes\barneha02,SF,6-8,225,May 30 1992,us,1,University of North Carolina
20,Kent Bazemore\bazemke01,SG,6-5,201,July 1 1989,us,1,Old Dominion University
25,Steve Blake\blakest01,PG,6-3,172,February 26 1980,us,10,University of Maryland
12,Andrew Bogut\bogutan01,C,7-0,260,November 28 1984,au,8,University of Utah
2,MarShon Brooks\brookma01,SG,6-5,200,January 26 1989,us,2,Providence College
55,Jordan Crawford\crawfjo02,SG,6-4,195,October 23 1988,us,3,Indiana University Xavier University
30,Stephen Curry\curryst01,PG,6-3,190,March 14 1988,us,4,Davidson College
21,Dewayne Dedmon\dedmode01,C,7-0,245,August 12 1989,us,R,University of Southern California
0,Toney Douglas\douglto01,PG,6-2,195,March 16 1986,us,4,Auburn University Florida State University
23,Draymond Green\greendr01,SF,6-7,230,March 4 1990,us,1,Michigan State University
9,Andre Iguodala\iguodan01,SF,6-6,215,January 28 1984,us,9,University of Arizona
1,Ognjen Kuzmic\kuzmiog01,C,7-1,251,May 16 1990,ba,R,
10,David Lee\leeda02,PF,6-9,245,April 29 1983,us,8,University of Florida
8,Nemanja Nedovic\nedovne01,SG,6-3,192,June 16 1991,rs,R,
7,Jermaine O'Neal\onealje01,PF,6-11,226,October 13 1978,us,17,
5,Marreese Speights\speigma01,C,6-10,255,August 4 1987,us,5,University of Florida
11,Klay Thompson\thompkl01,SG,6-7,215,February 8 1990,us,2,Washington State University
