No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
45,Cole Aldrich\aldrico01,C,6-11,250,October 31 1988,us,7,University of Kansas
8,Nemanja Bjelica\bjeline01,PF,6-10,234,May 9 1988,rs,2,
30,Aaron Brooks\brookaa01,PG,6-0,161,January 14 1985,us,9,University of Oregon
3,Anthony Brown\brownan02,SF,6-7,210,October 10 1992,us,2,Stanford University
23,Jimmy Butler\butleji01,SG,6-8,232,September 14 1989,us,6,Marquette University
11,Jamal Crawford\crawfja01,SG,6-5,185,March 20 1980,us,17,University of Michigan
5,Gorgui Dieng\dienggo01,C,6-11,252,January 18 1990,sn,4,University of Louisville
13,Marcus Georges-Hunt\georgma01,SG,6-5,216,March 28 1994,us,1,Georgia Institute of Technology
67,Taj Gibson\gibsota01,PF,6-9,232,June 24 1985,us,8,University of Southern California
1,Tyus Jones\jonesty01,PG,6-2,196,May 10 1996,us,2,Duke University
15,Shabazz Muhammad\muhamsh01,SF,6-6,223,November 13 1992,us,4,University of California Los Angeles
24,Justin Patton\pattoju01,C,7-0,241,June 14 1997,us,R,Creighton University
25,Derrick Rose\rosede01,PG,6-3,200,October 4 1988,us,8,University of Memphis
0,Jeff Teague\teaguje01,PG,6-2,195,June 10 1988,us,8,Wake Forest University
32,Karl-Anthony Towns\townska01,C,7-0,248,November 15 1995,us,2,University of Kentucky
22,Andrew Wiggins\wiggian01,SF,6-8,194,February 23 1995,ca,3,University of Kansas
