No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12-42,Alexis Ajinca\ajincal01,C,7-2,248,May 6 1988,fr,3,
0,Al-Farouq Aminu\aminual01,SF,6-9,220,September 21 1990,us,3,Wake Forest University
17,Lou Amundson\amundlo01,PF,6-9,220,December 7 1982,us,7,University of Nevada Las Vegas
33,Ryan Anderson\anderry01,PF,6-10,240,May 6 1988,us,5,University of California
8,Luke Babbitt\babbilu01,PF,6-9,225,June 20 1989,us,3,University of Nevada Reno
8,Josh Childress\childjo01,SF,6-8,210,June 20 1983,us,7,Stanford University
23,Anthony Davis\davisan02,PF,6-10,253,March 11 1993,us,1,University of Kentucky
4,Melvin Ely\elyme01,C,6-10,260,May 2 1978,us,8,California State University Fresno
1,Tyreke Evans\evansty01,SF,6-6,220,September 19 1989,us,4,University of Memphis
10,Eric Gordon\gordoer01,SG,6-4,215,December 25 1988,us,5,Indiana University
11,Jrue Holiday\holidjr01,PG,6-4,205,June 12 1990,us,4,University of California Los Angeles
2,Darius Miller\milleda01,SF,6-8,225,March 21 1990,us,1,University of Kentucky
3,Anthony Morrow\morroan01,SG,6-5,210,September 27 1985,us,5,Georgia Institute of Technology
21,Arinze Onuaku\onuakar01,PF,6-9,255,July 13 1987,us,R,Syracuse University
25,Austin Rivers\riverau01,PG,6-4,200,August 1 1992,us,1,Duke University
22,Brian Roberts\roberbr01,PG,6-1,173,December 3 1985,us,1,University of Dayton
14,Jason Smith\smithja02,PF,7-0,240,March 2 1986,us,5,Colorado State University
31,James Southerland\southja01,SF,6-8,215,April 28 1990,us,R,Syracuse University
34,Greg Stiemsma\stiemgr01,C,6-11,260,September 26 1985,us,2,University of Wisconsin
42,Lance Thomas\thomala01,SF,6-8,240,April 24 1988,us,2,Duke University
5,Jeff Withey\witheje01,C,7-0,231,March 7 1990,us,R,University of Kansas
