Rk,Player,From,To,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
569,De'Mon Brooks\demon-brooks-1,2011,2014,Davidson,Southern,125,2971,27.0,.597,.557,11.1,20.5,15.7,9.0,2.0,2.4,13.5,29.7,1638,116.4,97.7,10.8,5.0,15.7,2.7,0.1,2.8
570,Troy Caupain\troy-caupain-1,2014,2017,Cincinnati,AAC,137,3981,16.9,.516,.467,2.1,12.3,7.2,25.7,2.4,0.9,14.8,19.9,1401,111.9,96.2,7.8,7.8,15.7,2.9,2.5,5.4
571,Peter Cipriano\peter-cipriano-1,2003,2006,Southern,SWAC,118,3364,,.573,.554,,,12.0,6.3,,3.3,18.6,14.7,,,,6.2,9.5,15.7,,,
572,Chris Cokley\chris-cokley-1,2015,2018,Alabama-Birmingham,CUSA,134,2934,28.1,.603,.572,13.2,19.9,16.8,12.8,1.8,2.9,11.5,26.9,1544,120.8,98.7,10.5,5.1,15.7,3.5,0.9,4.4
573,Robert Covington\robert-covington-1,2010,2013,Tennessee State,OVC,118,3536,24.8,.583,.545,10.3,20.6,15.2,10.3,3.0,4.8,15.5,25.5,1611,112.4,97.2,9.8,5.9,15.7,4.0,1.9,6.0
574,Chris Daniels\chris-daniels-2,2005,2008,Texas A&M-Corpus Christi,Total,115,2615,,.619,.591,10.3,,14.8,10.3,,4.8,16.6,24.1,120,104.7,,9.3,6.4,15.7,,,
575,Ben Gordon\ben-gordon-1,2002,2004,Connecticut,Big East,106,3291,,.574,.531,,,6.6,24.7,,0.3,16.2,26.7,,,,9.6,6.1,15.7,,,
576,Luke Jackson\luke-jackson-1,2001,2004,Oregon,Pac-10,126,3665,,.586,.524,,,12.0,21.1,,0.7,14.9,24.5,,,,10.8,4.9,15.7,,,
577,Ty Lawson\ty-lawson-1,2007,2009,North Carolina,ACC,105,2835,,.624,.579,,,5.4,34.4,,0.2,16.6,21.5,,,,9.0,6.7,15.7,,,
578,Wesley Matthews\wesley-matthews-1,2006,2009,Marquette,Big East,127,3835,,.566,.488,,,9.3,13.6,,0.9,15.7,22.5,,,,8.2,7.5,15.7,,,
579,Ben Moore\ben-moore-1,2014,2017,Southern Methodist,AAC,135,3303,21.3,.571,.539,11.6,16.1,14.0,14.2,1.9,4.8,15.5,19.9,1266,117.6,93.8,8.4,7.3,15.7,3.4,5.0,8.3
580,Kyle O'Quinn\kyle-oquinn-1,2009,2012,Norfolk State,MEAC,129,3542,26.1,.602,.577,11.6,25.6,18.7,8.5,1.1,8.8,16.4,23.0,1367,114.9,95.9,9.4,6.3,15.7,2.2,3.2,5.4
581,Ryan Pearson\ryan-pearson-1,2009,2012,George Mason,CAA,129,3441,23.1,.559,.518,8.3,19.6,14.1,10.5,2.3,1.9,13.7,25.8,1318,111.7,94.6,8.7,7.0,15.7,3.5,1.6,5.2
582,K.C. Rivers\kc-rivers-1,2006,2009,Clemson,ACC,134,3876,,.551,.537,,,10.8,9.8,,1.1,10.2,21.7,,,,7.1,8.6,15.7,,,
583,Quinton Ross\quinton-ross-1,2000,2003,Southern Methodist,WAC,119,3615,,.562,.512,,,10.0,13.5,,1.6,12.3,26.3,,,,8.5,7.2,15.7,,,
584,Sitapha Savane\sitapha-savane-1,1998,2000,Navy,Patriot,80,,,.567,.538,,,,,,,,,,,,5.2,10.5,15.7,,,
585,Zakee Wadood\zakee-wadood-1,2001,2004,East Tennessee State,Southern,112,2789,,.533,.494,,,14.6,12.2,,3.6,16.1,23.7,,,,4.6,11.1,15.7,,,
586,Thomas Wilder\thomas-wilder-1,2015,2018,Western Michigan,MAC,130,3775,23.1,.565,.497,1.8,13.9,7.7,23.5,2.9,0.9,12.8,27.5,1976,115.2,104.9,11.3,4.4,15.7,3.9,-0.2,3.7
587,Grant Williams\grant-williams-1,2017,2019,Tennessee,SEC,104,3003,25.7,.591,.530,9.7,15.3,12.7,14.8,1.7,6.0,13.7,26.5,1595,118.8,98.0,10.2,5.5,15.7,5.3,5.1,10.4
588,Marcus Wilson\marcus-wilson-1,1996,1999,Evansville,MVC,119,,,.609,.554,,,,,,,,,,,,14.3,1.4,15.7,,,
589,Michael Wright\michael-wright-1,1999,2001,Arizona,Pac-10,99,,,.625,.575,,,,,,,12.7,,,,,10.3,5.4,15.7,,,
590,Thomas Coleman\thomas-coleman-1,2008,2011,North Carolina A&T,MEAC,126,3351,26.5,.604,.604,12.4,21.2,15.2,9.9,1.9,8.0,19.0,19.0,812,114.8,96.1,8.2,7.4,15.6,3.1,2.7,5.8
591,Arnaud Dahi\arnaud-dahi-1,2004,2007,Old Dominion,CAA,129,2883,,.546,.502,,,13.6,9.2,,4.1,15.2,25.5,,,,5.6,10.0,15.6,,,
592,Kellen Dunham\kellen-dunham-1,2013,2016,Butler,Total,134,4280,17.3,.568,.513,1.9,9.4,5.5,8.4,1.2,0.4,10.6,23.3,1716,115.7,104.7,10.9,4.8,15.6,4.5,-0.1,4.4
593,Jordan Dykstra\jordan-dykstra-1,2011,2014,South Dakota State,Summit,130,3595,21.9,.604,.567,7.0,22.1,14.4,10.9,1.2,1.6,12.8,22.9,1553,119.4,102.7,11.2,4.4,15.6,2.9,-1.0,2.0
594,Gregory Echenique\gregory-echenique-1,2009,2013,Total,Total,140,3417,25.4,.626,.598,13.8,21.5,17.5,5.2,1.2,7.4,16.8,20.3,1047,119.5,96.5,9.4,6.3,15.6,3.1,4.1,7.2
595,A.J. Guyton\aj-guyton-1,1997,2000,Indiana,Big Ten,128,3260,,.572,.541,,,,,,,13.6,,,,,11.5,4.1,15.6,,,
596,Adnan Hodzic\adnan-hodzic-1,2008,2011,Lipscomb,A-Sun,121,3252,25.7,.612,.587,10.1,19.0,14.5,6.0,0.6,0.9,14.3,28.2,1049,117.5,105.7,11.9,3.7,15.6,1.4,-3.2,-1.8
597,Rick Jackson\rick-jackson-1,2008,2011,Syracuse,Big East,143,3456,23.5,.583,.591,12.1,18.9,15.2,10.9,2.3,7.7,17.9,18.5,809,114.0,91.0,7.3,8.3,15.6,4.1,8.0,12.0
598,Justin Johnson\justin-johnson-7,2015,2018,Western Kentucky,CUSA,135,3785,22.7,.576,.569,9.8,21.9,16.0,10.3,1.0,2.2,10.5,22.2,1664,118.3,103.3,10.5,5.0,15.6,2.7,0.4,3.1
599,Dedric Lawson\dedric-lawson-1,2016,2019,Total,Total,101,3341,25.3,.539,.488,10.0,21.9,16.1,16.0,2.1,5.2,13.4,28.5,1810,110.0,94.4,8.4,7.2,15.6,3.8,4.7,8.5
600,Maarty Leunen\maarty-leunen-1,2005,2008,Oregon,Pac-10,127,3541,,.623,.582,,,15.5,12.3,,1.0,13.8,17.0,,,,8.7,6.9,15.6,,,
601,Frantz Massenat\frank-massenat-1,2011,2014,Drexel,CAA,128,4381,17.2,.524,.461,1.6,8.7,5.0,28.3,1.5,1.3,14.4,23.0,1700,110.0,101.5,9.8,5.8,15.6,2.6,0.1,2.7
602,Yante Maten\yante-maten-1,2015,2018,Georgia,SEC,128,3576,24.2,.561,.505,10.8,16.4,13.7,9.2,0.9,6.2,12.7,27.5,1781,113.0,99.7,9.7,5.9,15.6,3.0,3.8,6.8
603,Grant Maxey\grant-maxey-1,2007,2011,Jackson State,SWAC,134,3449,26.3,.549,.504,11.3,18.6,14.7,15.4,3.2,3.3,15.8,33.7,394,107.1,90.1,7.8,7.8,15.6,1.4,0.0,1.4
604,Bo McCalebb\bo-mccalebb-1,2004,2008,New Orleans,Sun Belt,128,4127,,.539,.504,,,4.4,11.5,,1.1,10.9,35.9,,,,10.0,5.6,15.6,,,
605,Chris Mihm\chris-mihm-1,1998,2000,Texas,Big 12,96,2041,,.548,.501,,,,,,,14.6,,,,,6.3,9.3,15.6,,,
606,Mike Pegues\mike-pegues-1,1997,2000,Delaware,AEC,123,,,.555,.504,,,,,,,,,,,,9.7,5.9,15.6,,,
607,Rayvonte Rice\rayvonte-rice-1,2011,2015,Total,Total,123,3902,22.5,.531,.484,4.7,17.7,11.0,12.8,3.2,2.0,11.2,28.3,1810,106.9,96.6,8.5,7.1,15.6,3.6,2.4,6.0
608,Dan Bowen\dan-bowen-1,1997,2000,Bucknell,Patriot,113,,,.587,.549,,,,,,,,,,,,8.0,7.5,15.5,,,
609,T.J. Cline\tj-cline-1,2013,2017,Total,Total,135,3575,23.8,.600,.588,4.7,19.5,12.1,25.2,1.6,0.7,13.6,27.4,1839,114.4,102.6,10.8,4.7,15.5,5.9,0.2,6.1
610,Paul Delaney\paul-delaney-1,2005,2009,Alabama-Birmingham,CUSA,127,3366,,.586,.534,,,8.1,18.2,,0.5,18.0,20.7,,,,8.5,7.0,15.5,,,
611,Marvelle Harris\marvelle-harris-2,2013,2016,Fresno State,MWC,136,4524,19.5,.530,.478,2.5,13.3,7.8,19.9,2.8,1.2,12.1,25.3,1976,108.5,102.2,9.3,6.2,15.5,3.1,0.5,3.6
612,Reggie Holmes\reggie-holmes-1,2007,2010,Morgan State,MEAC,133,3659,24.0,.533,.477,4.8,8.9,7.0,5.2,2.7,0.5,9.0,28.4,695,119.1,101.2,9.0,6.5,15.5,,,
613,Nate Holmstadt\nate-holmstadt-1,1996,1999,Montana State,Big Sky,119,,,.592,.556,,,,,,,,,,,,10.9,4.7,15.5,,,
614,John Jenkins\john-jenkins-1,2010,2012,Vanderbilt,SEC,98,2998,23.6,.648,.607,1.7,8.4,5.2,8.2,1.3,0.9,9.2,24.2,1389,129.1,104.3,12.5,3.0,15.5,9.6,-0.6,8.9
615,Michael Jordan\michael-jordan-3,1997,2000,Pennsylvania,Ivy,109,,,.585,.546,,,,,,,,,,,,10.8,4.8,15.5,,,
616,Kelvin Martin\kelvin-martin-1,2009,2012,Charleston Southern,Big South,115,3505,26.2,.565,.543,11.5,21.9,16.3,11.0,3.8,3.9,16.2,21.8,1261,116.3,94.0,8.6,6.9,15.5,2.4,3.3,5.7
617,Yemi Nicholson\yemi-nicholson-1,2004,2006,Denver,Sun Belt,87,2291,,.607,.581,,,17.8,7.7,,6.2,11.8,28.9,,,,9.2,6.3,15.5,,,
618,Chandler Parsons\chandler-parsons-1,2008,2011,Florida,SEC,142,3964,20.5,.560,.546,7.7,18.2,13.0,19.1,2.0,0.9,15.3,19.6,861,115.1,97.1,8.4,7.2,15.5,5.2,4.3,9.5
619,Lamar Patterson\lamar-patterson-1,2010,2014,Pittsburgh,Total,149,3628,20.4,.549,.513,5.9,14.8,10.2,24.3,2.6,1.4,16.0,22.5,1435,114.3,98.0,9.4,6.0,15.5,6.5,3.4,9.9
620,Grant Riller\grant-riller-1,2017,2019,College of Charleston,CAA,101,3226,24.8,.618,.583,1.7,8.5,5.2,17.7,2.2,0.8,11.6,27.5,1661,119.9,104.5,11.5,3.9,15.5,4.7,-0.8,3.9
621,Mike Scott\mike-scott-4,2008,2012,Virginia,ACC,130,3457,26.6,.575,.529,10.4,24.2,16.6,8.9,1.3,1.4,13.6,24.1,1001,113.6,93.7,8.9,6.7,15.5,4.8,2.5,7.2
622,Mike Smith\mike-smith-7,2007,2011,East Tennessee State,A-Sun,139,4087,22.5,.556,.507,6.0,15.8,9.8,13.3,1.6,1.1,14.7,25.3,621,112.4,97.7,8.7,6.7,15.5,3.2,-0.1,3.1
623,Greg Stempin\greg-stempin-1,1998,2001,Toledo,MAC,115,,,.538,.511,,,,,,,11.0,,,,,7.1,8.4,15.5,,,
624,C.J. Wilcox\cj-wilcox-1,2011,2014,Washington,Total,131,3735,21.1,.571,.535,3.3,10.8,6.9,11.9,1.7,2.6,9.8,24.1,1672,119.6,104.9,11.7,3.7,15.5,6.2,0.8,7.0
625,Pendarvis Williams\pendarvis-williams-1,2011,2014,Norfolk State,MEAC,132,3913,19.7,.603,.560,3.5,12.5,8.0,14.8,2.1,1.5,13.6,20.2,1524,119.9,103.1,10.9,4.6,15.5,3.4,-1.1,2.4
626,Tyler Zeller\tyler-zeller-1,2009,2012,North Carolina,ACC,117,2696,27.3,.597,.543,12.3,18.1,15.1,4.9,1.6,4.6,11.6,24.1,1328,122.7,93.1,9.9,5.6,15.5,6.1,4.6,10.7
627,A.J. Abrams\aj-abrams-1,2006,2009,Texas,Big 12,144,4673,,.557,.526,,,3.6,11.5,,0.2,9.5,20.0,,,,9.0,6.4,15.4,,,
628,Dionte Christmas\dionte-christmas-1,2006,2009,Temple,A-10,130,3849,,.571,.530,,,7.4,11.9,,0.9,13.5,26.0,,,,10.5,5.0,15.4,,,
629,Keith Clanton\keith-clanton-1,2010,2013,Central Florida,CUSA,129,4040,22.5,.557,.529,10.2,19.6,14.9,13.3,2.0,6.0,18.0,24.2,1693,107.2,96.8,8.6,6.9,15.4,3.1,3.7,6.8
630,Xavier Cooks\xavier-cooks-1,2015,2018,Winthrop,Big South,127,3558,23.7,.575,.546,7.4,22.7,15.4,18.0,1.7,6.4,17.7,26.1,1806,109.3,95.1,8.0,7.4,15.4,0.1,3.5,3.6
631,Joe Cremo\joe-cremo-1,2016,2019,Total,Total,136,3649,19.9,.590,.533,2.9,13.6,8.3,19.0,1.7,0.7,14.5,22.6,1570,118.5,102.5,10.3,5.1,15.4,3.1,-0.1,3.0
632,Michael Doleac\michael-doleac-1,1996,1998,Utah,WAC,99,1695,,.582,.512,,,,,,,14.0,,,,,7.9,7.5,15.4,,,
633,Kevin Foster\kevin-foster-2,2009,2013,Santa Clara,WCC,133,4212,22.6,.539,.499,1.6,9.1,5.2,28.4,3.5,0.5,15.1,33.0,1815,107.7,104.0,11.4,4.0,15.4,6.5,-1.7,4.9
634,J.J. Frazier\jj-frazier-1,2014,2017,Georgia,SEC,130,3528,20.7,.555,.486,1.8,11.7,7.0,27.0,2.7,0.5,12.1,24.1,1618,116.4,100.8,9.9,5.4,15.4,6.7,2.0,8.7
635,Ashton Gibbs\ashton-gibbs-1,2009,2012,Pittsburgh,Big East,137,3837,18.5,.568,.522,1.5,7.2,4.3,13.8,1.1,0.2,10.2,23.3,1380,120.5,105.9,12.1,3.3,15.4,6.4,-1.2,5.2
636,J.R. Giddens\jr-giddens-1,2004,2008,Total,Total,122,3533,,.549,.540,,,11.2,13.6,,2.2,13.3,22.8,,,,6.8,8.6,15.4,,,
637,Tim Gill\tim-gill-1,1996,1998,Oral Roberts,Total,86,,,.644,.614,,,,,,,,,,,,12.2,3.3,15.4,,,
638,Erick Green\erick-green-1,2010,2013,Virginia Tech,ACC,129,3648,21.9,.543,.488,1.9,9.1,5.4,21.1,2.6,0.8,10.0,25.3,1665,115.4,102.9,11.4,4.0,15.4,6.8,0.3,7.1
639,Malcolm Hill\malcolm-hill-1,2014,2017,Illinois,Big Ten,137,3864,20.9,.557,.492,4.8,15.3,9.9,15.7,1.9,1.1,11.7,25.5,1799,113.5,102.5,10.1,5.3,15.4,4.6,2.2,6.8
640,Jamar Howard\jamar-howard-1,2002,2005,Wichita State,MVC,124,3192,,.591,.547,,,13.3,19.0,,2.0,19.7,26.8,,,,9.6,5.7,15.4,,,
641,Stefon Jackson\stefon-jackson-1,2006,2009,Texas-El Paso,CUSA,125,4091,,.544,.479,,,8.7,11.3,,0.2,9.8,27.2,,,,9.4,5.9,15.4,,,
642,Fred Jones\fred-jones-1,1999,2002,Oregon,Pac-10,125,3527,,.595,.545,,,,,,,18.1,,,,,9.7,5.7,15.4,,,
643,Keith Langford\keith-langford-1,2002,2005,Kansas,Big 12,136,3932,,.557,.532,,,7.9,20.4,,0.9,14.1,24.9,,,,8.2,7.2,15.4,,,
644,Maodo Lo\maodo-lo-1,2013,2016,Columbia,Ivy,121,3678,21.8,.596,.573,2.2,12.5,7.4,17.6,3.1,1.6,13.8,25.7,1577,113.7,100.4,9.7,5.7,15.4,4.5,0.3,4.7
645,Scott Machado\scott-machado-1,2009,2012,Iona,MAAC,132,4143,19.9,.534,.479,2.8,11.8,7.3,39.3,2.6,0.5,22.6,23.6,1592,110.1,99.6,9.3,6.1,15.4,3.7,-0.2,3.4
646,Chris Monroe\chris-monroe-1,2000,2003,George Washington,A-10,118,1962,,.566,.499,,,,,,,14.7,,,,,10.9,4.5,15.4,,,
647,Durand Scott\durand-scott-1,2010,2013,Miami (FL),ACC,132,4238,18.5,.541,.489,4.3,11.9,8.1,19.9,2.4,0.5,16.1,22.4,1696,110.3,100.6,9.8,5.6,15.4,3.9,1.9,5.8
648,Torris Bright\torris-bright-1,2000,2003,Louisiana State,SEC,129,2177,,.569,.542,,,6.2,24.6,,0.6,23.8,20.9,,,,8.4,6.9,15.3,,,
649,Derrick Brown\derrick-brown-1,2007,2009,Xavier,A-10,106,2647,,.640,.612,,,14.5,11.4,,2.3,16.6,18.2,,,,8.6,6.6,15.3,,,
650,Glen Davis\glen-davis-1,2005,2007,Louisiana State,SEC,95,3036,,.553,.507,,,17.3,10.7,,2.5,13.7,27.3,,,,7.1,8.2,15.3,,,
651,Toney Douglas\toney-douglas-1,2005,2009,Total,Total,130,4452,,.560,.513,,,5.8,19.3,,0.8,14.6,25.9,,,,10.6,4.7,15.3,,,
652,Michael Freeman\michael-freeman-1,2007,2010,Hampton,MEAC,120,2391,19.8,.592,.546,9.8,17.8,14.0,5.7,2.8,4.1,23.2,20.8,342,104.8,90.7,7.1,8.2,15.3,,,
653,Murphy Holloway\murphy-holloway-1,2009,2013,Mississippi,SEC,132,3674,22.5,.544,.545,11.2,22.3,16.5,7.6,3.1,2.4,12.7,21.0,1190,110.0,92.1,7.7,7.6,15.3,2.7,3.8,6.4
654,Amile Jefferson\amile-jefferson-1,2013,2017,Duke,ACC,150,3344,21.2,.617,.620,13.0,19.9,16.5,7.7,1.6,3.9,13.8,15.4,1166,127.1,98.3,9.5,5.9,15.3,4.6,4.9,9.5
655,Marcus Landry\marcus-landry-1,2006,2009,Wisconsin,Big Ten,121,3028,,.551,.527,,,10.6,11.5,,2.7,15.4,21.8,,,,5.4,9.9,15.3,,,
656,Nick Mayo\nick-mayo-1,2016,2019,Eastern Kentucky,OVC,124,4156,22.9,.605,.556,5.6,17.1,11.3,14.0,1.4,4.5,15.0,26.0,2149,113.5,106.0,10.9,4.4,15.3,1.7,0.2,1.8
657,Kennedy Meeks\kennedy-meeks-1,2014,2017,North Carolina,ACC,144,3068,25.5,.574,.557,14.6,22.4,18.6,8.4,1.8,5.4,12.5,22.7,1425,118.4,94.8,8.9,6.4,15.3,4.2,5.3,9.6
658,Pops Mensah-Bonsu\pops-mensah-bonsu-1,2003,2006,George Washington,A-10,112,2665,,.599,.584,,,15.5,6.6,,4.5,15.7,25.4,,,,8.0,7.4,15.3,,,
659,Sam Merrill\sam-merrill-1,2017,2019,Utah State,MWC,100,3252,21.0,.624,.578,1.2,10.7,6.1,21.8,1.8,0.8,11.2,22.1,1481,124.9,103.5,11.0,4.3,15.3,5.8,0.0,5.8
660,Andrew Strait\andrew-strait-1,2005,2008,Montana,Big Sky,121,3493,,.615,.617,,,12.2,8.5,,2.3,11.1,22.6,,,,10.7,4.6,15.3,,,
661,Reid Travis\reid-travis-1,2015,2019,Total,Total,130,3825,21.2,.577,.550,11.6,18.2,15.0,6.1,1.3,1.3,12.6,23.1,1705,115.8,102.3,9.9,5.4,15.3,3.0,1.4,4.4
662,Terrence Williams\terrence-williams-1,2006,2009,Louisville,Big East,140,4510,,.484,.467,,,11.0,21.4,,1.3,16.9,20.6,,,,1.9,13.5,15.3,,,
663,Hassan Adams\hassan-adams-1,2003,2006,Arizona,Pac-10,130,3609,,.545,.524,,,10.9,14.1,,1.5,13.3,24.8,,,,6.8,8.4,15.2,,,
664,Bryce Alford\bryce-alford-1,2014,2017,UCLA,Pac-12,141,4509,17.2,.569,.519,0.8,8.5,4.8,20.7,1.3,0.2,12.2,20.8,1874,117.7,108.3,11.5,3.8,15.2,5.6,-0.5,5.0
665,Sterling Brown\sterling-brown-2,2014,2017,Southern Methodist,AAC,136,3492,18.1,.616,.586,6.9,14.8,11.1,15.6,2.5,1.9,18.9,16.7,1128,118.7,94.6,7.8,7.5,15.2,4.6,3.7,8.3
666,Greg Brunner\greg-brunner-1,2003,2006,Iowa,Big Ten,127,3728,,.554,.522,,,15.1,12.7,,2.0,16.5,22.3,,,,7.1,8.1,15.2,,,
667,Joe Chealey\joe-chealey-1,2014,2018,College of Charleston,CAA,129,4018,19.4,.549,.472,2.0,11.2,6.7,22.7,1.7,0.5,12.8,25.8,1829,112.5,103.9,10.2,5.1,15.2,2.9,-0.6,2.3
668,P.J. Couisnard\pj-couisnard-1,2005,2008,Wichita State,MVC,126,3583,,.553,.519,,,12.3,20.7,,1.5,17.5,21.1,,,,6.2,8.9,15.2,,,
669,Jonathan Cox\jonathan-cox-1,2006,2009,Drake,MVC,129,3133,,.595,.562,,,17.0,4.7,,2.5,12.8,18.9,,,,7.6,7.7,15.2,,,
670,Angel Delgado\angel-delgado-1,2015,2018,Seton Hall,Big East,132,4039,21.3,.544,.538,14.1,25.7,19.9,11.3,1.2,2.6,16.3,21.1,1680,110.1,98.1,8.0,7.3,15.2,2.1,3.8,5.9
671,Brian Ehlers\brian-ehlers-1,1997,2000,Lafayette,Patriot,117,,,.568,.507,,,,,,,,,,,,10.2,5.1,15.2,,,
672,Frank Elegar\frank-elegar-1,2005,2008,Drexel,CAA,107,2770,,.561,.520,,,13.6,6.4,,3.5,15.4,23.2,,,,6.6,8.5,15.2,,,
673,Jordan Fouse\jordan-fouse-1,2013,2016,Green Bay,Horizon,134,4171,18.8,.511,.484,8.8,19.8,14.3,17.5,3.7,4.7,18.2,16.1,1321,106.6,91.9,5.5,9.7,15.2,1.0,5.9,6.9
674,Blake Griffin\blake-griffin-1,2008,2009,Oklahoma,Big 12,68,2102,,.620,.620,,,21.8,16.4,,2.4,15.7,29.5,,,,8.9,6.3,15.2,,,
675,Noah Hartsock\noah-hartsock-1,2009,2012,Brigham Young,Total,134,3331,19.9,.607,.567,6.4,14.9,10.8,8.6,1.3,5.4,11.1,16.1,1076,124.7,95.1,8.7,6.5,15.2,3.0,4.2,7.3
676,Roderick Johnson\roderick-johnson-1,1996,2000,Total,Total,103,,,.585,.543,,,,,,,,,,,,8.3,6.8,15.2,,,
677,Landry Kosmalski\landry-kosmalski-1,1997,2000,Davidson,Southern,113,,,.573,.543,,,,,,,,,,,,7.9,7.3,15.2,,,
678,Caleb Martin\caleb-martin-1,2015,2019,Total,Total,139,3959,19.4,.555,.521,3.4,13.9,8.7,12.8,2.0,2.1,10.4,23.9,1754,113.8,101.9,9.6,5.7,15.2,4.9,1.4,6.2
679,Marcus Morris\marcus-morris-1,2009,2011,Kansas,Big 12,109,2611,27.5,.601,.579,12.1,16.7,14.6,10.2,1.9,1.8,13.1,24.5,1029,126.0,93.1,9.4,5.8,15.2,7.8,3.4,11.2
680,Hanno Mottola\hanno-mottola-1,1997,2000,Utah,Total,120,2162,,.580,.533,,,,,,,14.9,,,,,9.4,5.8,15.2,,,
681,Tyler Nelson\tyler-nelson-1,2015,2018,Fairfield,MAAC,127,4308,19.5,.585,.529,1.9,8.4,5.1,17.8,1.9,0.2,11.6,24.6,2029,115.1,107.7,11.4,3.9,15.2,3.9,-2.0,1.9
682,Trey Sumler\trey-sumler-1,2011,2014,Western Carolina,Southern,132,4648,18.7,.562,.506,3.0,12.3,7.2,21.8,2.3,0.1,17.6,22.9,1994,111.2,105.7,11.0,4.3,15.2,2.0,-2.0,0.0
683,Damon Thornton\damon-thornton-1,1997,2001,North Carolina State,ACC,110,,,.565,.553,,,,,,,20.6,,,,,4.9,10.3,15.2,,,
684,Bryce Washington\bryce-washington-1,2015,2018,Louisiana,Sun Belt,136,3865,19.6,.585,.566,11.7,20.4,16.0,11.2,1.9,2.3,16.6,16.4,1416,118.8,99.2,8.7,6.5,15.2,1.7,2.3,4.0
685,Anthony Winchester\anthony-winchester-1,2003,2006,Western Kentucky,Sun Belt,123,3577,,.604,.570,,,10.5,14.0,,0.3,14.3,24.1,,,,10.9,4.3,15.2,,,
686,Vincent Yarbrough\vincent-yarbrough-1,1999,2002,Tennessee,SEC,127,3859,,.535,.504,,,11.2,14.4,3.2,3.4,14.8,20.8,,,,6.5,8.7,15.2,,,
687,Alex Young\alex-young-1,2009,2012,IUPUI,Summit,131,4103,25.3,.547,.514,6.6,14.6,10.4,12.0,2.7,2.3,13.2,31.1,1810,110.8,105.1,11.3,3.9,15.2,3.1,-0.9,2.1
688,Ahmad Caver\ahmad-caver-1,2016,2019,Old Dominion,CUSA,136,4183,16.7,.487,.456,1.6,10.0,5.9,30.0,2.7,1.0,13.1,22.5,1625,106.5,96.3,6.8,8.3,15.1,2.4,1.3,3.7
689,Eric Chenowith\eric-chenowith-1,1998,2001,Kansas,Big 12,139,3106,,.506,.454,,,14.6,7.4,1.5,7.6,17.7,23.4,,,,3.0,12.1,15.1,,,
690,Sam Clancy\sam-clancy-1,1999,2002,Southern California,Pac-10,113,1203,,.525,.496,,,13.6,8.7,,2.9,10.8,24.7,,,,5.2,10.0,15.1,,,
691,Branden Dawson\branden-dawson-1,2012,2015,Michigan State,Big Ten,130,3456,22.9,.562,.559,11.8,19.3,15.7,11.1,2.9,4.7,15.8,21.2,1288,110.4,91.4,7.2,7.9,15.1,3.2,6.5,9.7
692,Tyreek Duren\tyreek-duren-1,2011,2014,La Salle,A-10,132,4600,17.9,.566,.511,1.7,9.0,5.3,21.2,2.9,0.8,16.2,20.2,1739,112.2,103.6,10.0,5.1,15.1,3.2,1.0,4.1
693,Jacob Evans\jacob-evans-1,2016,2018,Cincinnati,AAC,105,3051,20.3,.551,.518,5.3,11.6,8.5,16.8,2.4,3.5,10.6,20.9,1194,119.6,93.4,8.2,6.9,15.1,4.8,4.6,9.4
694,Ben Finney\ben-finney-1,2008,2011,Old Dominion,CAA,139,3873,17.9,.501,.473,10.5,12.8,12.1,15.3,2.7,1.4,15.2,19.1,684,110.7,94.2,6.0,9.1,15.1,3.3,3.2,6.5
695,Deng Gai\deng-gai-1,2002,2005,Fairfield,MAAC,100,2950,,.550,.510,,,,,,,15.8,,,,,5.6,9.5,15.1,,,
696,Charles Gosa\charles-gosa-1,1996,1999,New Mexico State,Big West,117,,,.583,.559,,,,,,,,,,,,7.5,7.6,15.1,,,
697,Jerry Green\jerry-green-1,1999,2002,UC-Irvine,Big West,116,1160,,.573,.512,,,6.6,26.4,,0.0,17.0,30.5,,,,11.7,3.4,15.1,,,
698,David Hawkins\david-hawkins-2,2001,2004,Temple,A-10,127,3364,,.511,.466,,,7.5,15.6,,0.5,12.5,25.8,,,,5.9,9.2,15.1,,,
699,Luther Head\luther-head-1,2002,2005,Illinois,Big Ten,128,3250,,.605,.582,,,7.6,18.7,,0.5,15.5,21.2,,,,8.8,6.3,15.1,,,
700,Casey Jacobsen\casey-jacobsen-1,2000,2002,Stanford,Pac-10,95,3020,,.609,.566,,,6.9,20.8,,0.2,12.0,28.5,,,,11.3,3.8,15.1,,,
701,Kerron Johnson\kerron-johnson-1,2010,2013,Belmont,Total,132,3205,20.5,.592,.517,2.1,10.1,6.1,29.6,3.7,0.2,21.8,23.4,1510,113.3,95.5,9.3,5.8,15.1,3.9,1.4,5.3
702,Jarrod Jones\jarrod-jones-1,2009,2012,Ball State,MAC,123,3587,22.1,.517,.478,8.7,24.4,16.6,8.2,1.5,3.4,12.7,27.3,1162,105.4,93.1,6.1,9.0,15.1,0.1,0.5,0.6
703,Rob Jones\rob-jones-1,2008,2012,Total,WCC,134,3943,22.4,.528,.508,9.6,25.4,16.4,12.2,2.5,1.9,16.7,24.7,939,110.8,93.9,7.0,8.1,15.1,2.8,2.7,5.5
