Rk,Player,From,To,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
474,Jon Brockman\jon-brockman-1,2006,2009,Washington,Pac-10,131,3760,,.553,.534,,,18.1,6.4,,0.3,14.2,21.3,,,,7.5,8.7,16.2,,,
475,Jaron Brown\jaron-brown-2,2001,2004,Pittsburgh,Big East,137,3273,,.542,.521,,,9.3,17.0,,0.5,19.4,20.6,,,,5.6,10.6,16.2,,,
476,Jared Brownridge\jared-brownridge-1,2014,2017,Santa Clara,WCC,129,4519,20.6,.581,.535,1.1,8.8,4.9,17.3,1.6,0.5,9.5,26.7,2089,115.8,110.2,13.2,3.0,16.2,5.9,-2.1,3.8
477,Justin Doellman\justin-doellman-1,2004,2007,Xavier,A-10,132,3759,,.560,.520,,,11.3,14.7,,2.8,14.3,20.5,,,,6.9,9.3,16.2,,,
478,Damyean Dotson\damyean-dotson-1,2013,2017,Total,Total,134,3906,19.5,.574,.551,4.9,15.1,10.0,7.7,1.5,0.6,9.3,21.5,1547,118.9,101.3,10.5,5.7,16.2,4.8,0.5,5.3
479,Austin Freeman\austin-freeman-1,2008,2011,Georgetown,Big East,129,4000,21.9,.606,.571,3.2,9.5,7.1,14.6,1.5,0.5,12.4,22.2,994,121.6,106.1,12.3,3.9,16.2,6.4,-0.4,5.9
480,Kevin Hamilton\kevin-hamilton-1,2003,2006,Holy Cross,Patriot,122,3453,,.526,.481,,,10.1,20.6,,1.0,17.7,26.2,,,,5.7,10.5,16.2,,,
481,Kareem Jamar\kareem-jamar-1,2011,2014,Montana,Big Sky,121,4032,21.0,.574,.541,4.1,17.1,10.7,22.8,1.7,1.8,15.3,23.8,1711,113.1,100.8,10.7,5.6,16.2,2.6,0.6,3.2
482,Keon Johnson\keon-johnson-1,2014,2017,Winthrop,Big South,128,3940,19.8,.589,.529,1.4,9.6,5.7,14.0,1.3,0.0,11.0,25.2,1926,118.4,106.1,12.0,4.1,16.2,3.0,-3.3,-0.3
483,Chris Marcus\chris-marcus-1,2000,2003,Western Kentucky,Sun Belt,79,410,,.588,.558,,,20.8,1.8,,7.6,12.1,31.1,,,,6.7,9.5,16.2,,,
484,Gerry McNamara\gerry-mcnamara-1,2003,2006,Syracuse,Big East,135,4799,,.547,.494,,,3.7,24.7,,0.1,16.5,23.1,,,,9.3,6.9,16.2,,,
