Rk	Pk	Tm	Player	Pos	College	Yrs	G	MP	PTS	TRB	AST	FG%	3P%	FT%	MP	PTS	TRB	AST	WS	WS/48	BPM	VORP
1	1	PHI	Markelle Fultz\fultzma01	PG	University of Washington	2	33	680	255	113	112	0.414	0.267	0.534	20.6	7.7	3.4	3.4	0.5	0.038	-3.1	-0.2
2	2	LAL	Lonzo Ball\balllo01	PG	University of California Los Angeles	2	99	3203	993	611	631	0.38	0.315	0.437	32.4	10	6.2	6.4	3.5	0.053	1.2	2.6
3	3	BOS	Jayson Tatum\tatumja01	SF	Duke University	2	159	4893	2355	879	296	0.461	0.4	0.84	30.8	14.8	5.5	1.9	12	0.118	0.1	2.6
4	4	PHO	Josh Jackson\jacksjo02	SF	University of Kansas	2	156	3947	1922	698	302	0.415	0.294	0.65	25.3	12.3	4.5	1.9	-2.4	-0.029	-4.6	-2.5
5	5	SAC	De'Aaron Fox\foxde01	PG	University of Kentucky	2	154	4572	2243	508	910	0.439	0.345	0.725	29.7	14.6	3.3	5.9	5	0.053	-1.3	0.8
6	6	ORL	Jonathan Isaac\isaacjo01	SF	Florida State University	2	102	2532	865	510	98	0.419	0.327	0.806	24.8	8.5	5	1	4.2	0.08	-0.3	1.1
7	7	MIN	Lauri Markkanen\markkla01	PF	University of Arizona	2	120	3702	2007	978	154	0.432	0.362	0.859	30.9	16.7	8.2	1.3	6.1	0.079	-1.9	0.1
8	8	NYK	Frank Ntilikina\ntilila01	PG		2	121	2610	709	264	371	0.354	0.305	0.735	21.6	5.9	2.2	3.1	-1.8	-0.033	-4.5	-1.7
9	9	DAL	Dennis Smith\smithde03	PG	North Carolina State University	2	122	3557	1770	415	610	0.407	0.316	0.668	29.2	14.5	3.4	5	-0.7	-0.009	-2.4	-0.3
10	10	SAC	Zach Collins\colliza01	C	Gonzaga University	2	143	2401	804	545	123	0.441	0.321	0.72	16.8	5.6	3.8	0.9	3.6	0.072	-1.3	0.4
