No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
45,Cole Aldrich\aldrico01,C,6-11,250,October 31 1988,us,5,University of Kansas
19,Jeff Ayres\pendeje02,C,6-9,240,April 29 1987,us,5,Arizona State University
11,Jamal Crawford\crawfja01,SG,6-5,185,March 20 1980,us,15,University of Michigan
22,Branden Dawson\dawsobr01,PF,6-6,225,February 1 1993,us,R,Michigan State University
8,Jeff Green\greenje02,SF,6-9,235,August 28 1986,us,7,Georgetown University
32,Blake Griffin\griffbl01,PF,6-10,250,March 16 1989,us,5,University of Oklahoma
33,Wesley Johnson\johnswe01,SF,6-7,215,July 11 1987,us,5,Iowa State University Syracuse University
6,DeAndre Jordan\jordade01,C,6-11,265,July 21 1988,us,7,Texas A&M University
12,Luc Mbah a Moute\mbahalu01,PF,6-8,230,September 9 1986,cm,7,University of California Los Angeles
3,Chris Paul\paulch01,PG,6-0,175,May 6 1985,us,10,Wake Forest University
34,Paul Pierce\piercpa01,SF,6-7,235,October 13 1977,us,17,University of Kansas
9,Pablo Prigioni\prigipa01,PG,6-3,185,May 17 1977,ar,3,
4,J.J. Redick\redicjj01,SG,6-4,200,June 24 1984,us,9,Duke University
25,Austin Rivers\riverau01,SG,6-4,200,August 1 1992,us,3,Duke University
5,Josh Smith\smithjo03,PF,6-9,225,December 5 1985,us,11,
1,Lance Stephenson\stephla01,SF,6-6,230,September 5 1990,us,5,University of Cincinnati
35,Alex Stepheson\stephal01,PF,6-10,270,August 7 1987,us,R,University of North Carolina University of Southern California
30,C.J. Wilcox\wilcocj01,SG,6-5,195,December 30 1990,us,1,University of Washington
