No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
11,Chris Andersen\anderch01,C,6-10,245,July 7 1978,us,12,Blinn College
30,Michael Beasley\beaslmi01,PF,6-9,235,January 9 1989,us,6,Kansas State University
1,Chris Bosh\boshch01,C,6-11,235,March 24 1984,us,11,Georgia Institute of Technology
26,Shannon Brown\brownsh01,SG,6-4,205,November 29 1985,us,8,Michigan State University
15,Mario Chalmers\chalmma01,PG,6-2,190,May 19 1986,us,6,University of Kansas
30,Norris Cole\coleno01,PG,6-2,175,October 13 1988,us,3,Cleveland State University
24,Andre Dawkins\dawkian01,SG,6-5,215,September 19 1991,us,R,Duke University
9,Luol Deng\denglu01,SF,6-9,237,April 16 1985,ss,10,Duke University
7,Goran Dragic\dragigo01,PG,6-3,190,May 6 1986,si,6,
12,Zoran Dragic\dragizo01,SG,6-5,200,June 22 1989,si,R,
32,James Ennis\ennisja01,SF,6-7,210,July 1 1990,us,R,California State University Long Beach
22,Danny Granger\grangda01,SF,6-9,222,April 20 1983,us,9,Bradley University University of New Mexico
7,Justin Hamilton\hamilju01,C,7-0,260,April 1 1990,us,1,Iowa State University Louisiana State University
40,Udonis Haslem\hasleud01,PF,6-8,235,June 9 1980,us,11,University of Florida
8,Tyler Johnson\johnsty01,SG,6-4,190,May 7 1992,us,R,California State University Fresno
4,Josh McRoberts\mcrobjo01,PF,6-10,240,February 28 1987,us,7,Duke University
13,Shabazz Napier\napiesh01,PG,6-1,180,July 14 1991,us,R,University of Connecticut
3,Dwyane Wade\wadedw01,SG,6-4,220,January 17 1982,us,11,Marquette University
5,Henry Walker\walkebi01,SF,6-6,220,October 9 1987,us,4,Kansas State University
21,Hassan Whiteside\whiteha01,C,7-0,265,June 13 1989,us,2,Marshall University
43,Shawne Williams\willish03,SF,6-9,225,February 16 1986,us,6,University of Memphis
