No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Lavoy Allen\allenla01,PF,6-9,260,February 4 1989,us,5,Temple University
00,Aaron Brooks\brookaa01,PG,6-0,161,January 14 1985,us,8,University of Oregon
25,Rakeem Christmas\chrisra01,PF,6-9,250,December 1 1991,us,1,Syracuse University
11,Monta Ellis\ellismo01,SG,6-3,185,October 26 1985,us,11,
13,Paul George\georgpa01,SF,6-9,220,May 2 1990,us,6,California State University Fresno
7,Al Jefferson\jeffeal01,C,6-10,289,January 4 1985,us,12,
0,C.J. Miles\milescj01,SF,6-6,220,March 18 1987,us,11,
32,Georges Niang\niangge01,PF,6-8,230,June 17 1993,us,R,Iowa State University
40,Glenn Robinson\robingl02,SF,6-6,222,January 8 1994,us,2,University of Michigan
1,Kevin Seraphin\serapke01,PF,6-9,285,December 7 1989,gf,6,
6,Lance Stephenson\stephla01,SG,6-6,230,September 5 1990,us,6,University of Cincinnati
2,Rodney Stuckey\stuckro01,PG,6-5,210,April 21 1986,us,9,Eastern Washington University
44,Jeff Teague\teaguje01,PG,6-2,195,June 10 1988,us,7,Wake Forest University
33,Myles Turner\turnemy01,C,6-11,250,March 24 1996,us,1,University of Texas at Austin
3,Joe Young\youngjo01,PG,6-2,180,June 27 1992,us,1,University of Houston University of Oregon
21,Thaddeus Young\youngth01,PF,6-8,221,June 21 1988,us,9,Georgia Institute of Technology
