No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
34,Ray Allen\allenra02,SG,6-5,205,July 20 1975,us,17,University of Connecticut
11,Chris Andersen\anderch01,C,6-10,245,July 7 1978,us,11,Blinn College
50,Joel Anthony\anthojo01,C,6-9,245,August 9 1982,ca,6,University of Nevada Las Vegas
31,Shane Battier\battish01,SF,6-8,220,September 9 1978,us,12,Duke University
8,Michael Beasley\beaslmi01,SF,6-9,235,January 9 1989,us,5,Kansas State University
1,Chris Bosh\boshch01,C,6-11,235,March 24 1984,us,10,Georgia Institute of Technology
15,Mario Chalmers\chalmma01,PG,6-2,190,May 19 1986,us,5,University of Kansas
30,Norris Cole\coleno01,PG,6-2,175,October 13 1988,us,2,Cleveland State University
0,Toney Douglas\douglto01,PG,6-2,195,March 16 1986,us,4,Auburn University Florida State University
7,Justin Hamilton\hamilju01,C,7-0,260,April 1 1990,us,R,Iowa State University Louisiana State University
40,Udonis Haslem\hasleud01,PF,6-8,235,June 9 1980,us,10,University of Florida
6,LeBron James\jamesle01,PF,6-8,250,December 30 1984,us,10,
22,James Jones\jonesja02,SF,6-8,218,October 4 1980,us,10,University of Miami
9,Rashard Lewis\lewisra02,SF,6-10,215,August 8 1979,us,15,
14,DeAndre Liggins\liggide01,SG,6-6,209,March 31 1988,us,2,University of Kentucky
21,Roger Mason\masonro01,SG,6-5,200,September 10 1980,us,9,University of Virginia
20,Greg Oden\odengr01,C,7-0,250,January 22 1988,us,2,Ohio State University
3,Dwyane Wade\wadedw01,SG,6-4,220,January 17 1982,us,10,Marquette University
