No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Victor Oladipo,SG,6-4,210,May 4 1992,us,5,Indiana University
33,Myles Turner,C,6-11,250,March 24 1996,us,3,University of Texas at Austin
21,Thaddeus Young,PF,6-8,221,June 21 1988,us,11,Georgia Institute of Technology
6,Cory Joseph,PG,6-3,193,August 20 1991,ca,7,University of Texas at Austin
11,Domantas Sabonis,C,6-11,240,May 3 1996,us,2,Gonzaga University
22,T.J. Leaf,PF,6-10,225,April 30 1997,il,1,University of California Los Angeles
44,Bojan Bogdanovic,SF,6-8,216,April 18 1989,ba,4,
2,Darren Collison,PG,6-0,175,August 23 1987,us,9,University of California Los Angeles
5,Edmond Sumner  (TW),PG,6-6,176,December 31 1995,us,1,Xavier University
3,Aaron Holiday,PG,6-1,185,September 30 1996,us,R,University of California Los Angeles
12,Tyreke Evans,SG,6-6,220,September 19 1989,us,9,University of Memphis
20,Doug McDermott,SF,6-8,225,January 3 1992,us,4,Creighton University
10,Kyle O'Quinn,C,6-10,250,March 26 1990,us,6,Norfolk State University
24,Alize Johnson,PF,6-9,212,April 22 1996,us,R,Missouri State
32,Davon Reed  (TW),SG,6-5,208,June 11 1995,us,1,University of Miami
23,Wesley Matthews,SG,6-5,220,October 14 1986,us,9,Marquette University
