No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Alex Abrines\abrinal01,SG,6-6,200,August 1 1993,es,R,
12,Steven Adams\adamsst01,C,7-0,265,July 20 1993,nz,3,University of Pittsburgh
6,Semaj Christon\chrisse01,PG,6-3,190,November 1 1992,us,R,Xavier University
30,Norris Cole\coleno01,PG,6-2,175,October 13 1988,us,5,Cleveland State University
4,Nick Collison\collini01,PF,6-10,255,October 26 1980,us,12,University of Kansas
22,Taj Gibson\gibsota01,PF,6-9,232,June 24 1985,us,7,University of Southern California
9,Jerami Grant\grantje01,PF,6-9,220,March 12 1994,us,2,Syracuse University
34,Josh Huestis\huestjo01,PF,6-7,230,December 19 1991,us,1,Stanford University
7,Ersan Ilyasova\ilyaser01,PF,6-10,235,May 15 1987,tr,8,
11,Enes Kanter\kanteen01,C,6-11,250,May 20 1992,ch,5,
77,Joffrey Lauvergne\lauvejo01,PF,6-11,220,September 30 1991,fr,2,
25,Doug McDermott\mcderdo01,SF,6-8,225,January 3 1992,us,2,Creighton University
2,Anthony Morrow\morroan01,SG,6-5,210,September 27 1985,us,8,Georgia Institute of Technology
5,Victor Oladipo\oladivi01,SG,6-4,210,May 4 1992,us,3,Indiana University
22,Cameron Payne\payneca01,PG,6-3,190,August 8 1994,us,1,Murray State University
21,Andre Roberson\roberan03,SF,6-7,210,December 4 1991,us,3,University of Colorado
3,Domantas Sabonis\sabondo01,PF,6-11,240,May 3 1996,us,R,Gonzaga University
15,Kyle Singler\singlky01,SF,6-8,228,May 4 1988,us,4,Duke University
0,Russell Westbrook\westbru01,PG,6-3,200,November 12 1988,us,8,University of California Los Angeles
