Rk,Player,From,To,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
657,Skyler Flatten\skyler-flatten-1,2018,2018,South Dakota State,Summit,35,922,13.1,.661,.656,2.0,10.6,6.5,7.2,1.0,1.4,6.7,10.4,223,135.5,105.6,1.9,1.1,3.0,3.0,1.4,4.3
658,Jaylen Franklin\jaylen-franklin-1,2018,2018,Abilene Christian,Southland,32,1027,16.0,.565,.565,4.0,10.3,7.1,26.0,3.2,0.7,22.4,18.4,375,105.1,100.1,1.3,1.7,3.0,-1.3,0.1,-1.2
659,Stone Gettings\stone-gettings-1,2018,2018,Cornell,Ivy,28,749,25.4,.594,.550,6.3,21.6,14.3,25.0,1.5,1.8,13.8,31.0,446,113.6,108.9,2.3,0.6,3.0,4.2,-1.6,2.6
660,Montell Goodwin\montell-goodwin-1,2018,2018,Eastern Illinois,OVC,31,1100,16.1,.516,.488,1.6,9.7,5.5,21.3,1.9,1.3,11.9,24.1,445,106.4,106.2,1.7,1.2,3.0,1.3,-2.3,-1.0
661,Zachary Hamilton\zachary-hamilton-1,2018,2018,Prairie View,SWAC,34,936,18.5,.533,.498,4.0,14.0,8.7,10.1,1.9,1.1,10.1,28.7,479,108.6,106.4,1.9,1.0,3.0,1.0,-3.4,-2.4
662,George King\george-king-1,2018,2018,Colorado,Pac-12,32,913,18.8,.574,.542,7.2,23.3,15.5,8.2,1.1,2.6,15.1,23.3,384,109.3,102.3,1.7,1.3,3.0,2.2,2.1,4.3
663,De'Quon Lake\dequon-lake-1,2018,2018,Arizona State,Pac-12,32,546,25.0,.708,.711,12.3,21.8,17.2,1.4,0.9,8.8,8.0,15.7,216,143.7,99.4,2.1,1.0,3.0,3.4,3.5,6.9
664,Joshua Langford\joshua-langford-1,2018,2018,Michigan State,Big Ten,35,946,12.9,.527,.492,3.8,8.1,6.2,10.4,0.8,0.3,11.8,23.3,368,109.0,102.6,1.6,1.4,3.0,1.7,0.7,2.4
665,Kameron Langley\kameron-langley-1,2018,2018,North Carolina A&T,MEAC,35,1068,15.0,.599,.558,2.9,9.3,6.1,28.9,3.1,0.4,26.2,13.6,327,112.5,103.7,1.6,1.4,3.0,-1.0,-0.4,-1.4
666,Dwayne Lautier-Ogunleye\dwayne-lautier-ogunleye-1,2018,2018,Bradley,MVC,33,865,14.7,.552,.497,6.1,14.5,10.3,20.6,1.2,0.3,16.2,16.3,278,115.3,101.6,1.6,1.3,3.0,1.9,0.6,2.5
667,Matt Lewis\matt-lewis-1,2018,2018,James Madison,CAA,32,1017,17.5,.522,.450,2.6,11.2,6.6,14.6,1.8,0.6,8.3,23.6,442,113.4,110.4,2.3,0.7,3.0,1.6,-2.2,-0.5
668,Isaiah Miller\isaiah-miller-1,2018,2018,North Carolina-Greensboro,Southern,35,570,24.7,.557,.546,9.8,13.5,11.6,21.3,5.0,0.5,14.9,27.4,285,110.7,88.0,1.4,1.6,3.0,2.0,3.8,5.8
669,Bobby Moorehead\bobby-moorehead-1,2018,2018,Montana,Big Sky,34,1085,11.0,.525,.500,2.8,16.2,9.4,6.2,2.2,1.8,14.1,12.5,242,106.9,97.4,0.9,2.1,3.0,0.4,2.7,3.1
