No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
00,Darrell Arthur\arthuda01,PF,6-9,235,March 25 1988,us,7,University of Kansas
5,Will Barton\bartowi01,SG,6-6,190,January 6 1991,us,4,University of Memphis
25,Malik Beasley\beaslma01,SG,6-5,195,November 26 1996,us,R,Florida State University
21,Wilson Chandler\chandwi01,SF,6-9,225,May 10 1987,us,8,DePaul University
35,Kenneth Faried\farieke01,PF,6-8,220,November 19 1989,us,5,Morehead State University
8,Danilo Gallinari\gallida01,SF,6-10,225,August 8 1988,it,7,
7,Alonzo Gee\geeal01,SF,6-6,225,May 29 1987,us,7,University of Alabama
14,Gary Harris\harriga01,SG,6-4,210,September 14 1994,us,2,Michigan State University
41,Juan Hernangomez\hernaju01,PF,6-9,230,September 28 1995,es,R,
34,Roy Hibbert\hibbero01,C,7-2,270,December 11 1986,us,8,Georgetown University
15,Nikola Jokic\jokicni01,C,7-0,250,February 19 1995,rs,1,
3,Mike Miller\millemi01,SF,6-8,218,February 19 1980,us,16,University of Florida
0,Emmanuel Mudiay\mudiaem01,PG,6-5,200,March 5 1996,cd,1,
27,Jamal Murray\murraja01,SG,6-4,207,February 23 1997,ca,R,University of Kentucky
1,Jameer Nelson\nelsoja01,PG,6-0,190,February 9 1982,us,12,Saint Joseph's University
23,Jusuf Nurkic\nurkiju01,C,7-0,275,August 23 1994,ba,2,
9,Johnny O'Bryant\obryajo01,PF,6-9,257,June 1 1993,us,2,Louisiana State University
24,Mason Plumlee\plumlma01,C,6-11,235,March 5 1990,us,3,Duke University
12,Jarnell Stokes\stokeja01,C,6-9,263,January 7 1994,us,2,University of Tennessee
