No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
15,Anthony Bennett\bennean01,PF,6-8,245,March 14 1993,ca,2,University of Nevada Las Vegas
8,Bismack Biyombo\biyombi01,C,6-9,255,August 28 1992,cd,4,
20,Bruno Caboclo\cabocbr01,SF,6-9,218,September 21 1995,br,1,
5,DeMarre Carroll\carrode01,SF,6-8,215,July 27 1986,us,6,Vanderbilt University University of Missouri
10,DeMar DeRozan\derozde01,SG,6-7,220,August 7 1989,us,6,University of Southern California
3,James Johnson\johnsja01,PF,6-8,240,February 20 1987,us,6,Wake Forest University
6,Cory Joseph\josepco01,SG,6-3,193,August 20 1991,ca,4,University of Texas at Austin
7,Kyle Lowry\lowryky01,PG,6-1,196,March 25 1986,us,9,Villanova University
92,Lucas Nogueira\noguelu01,C,7-0,241,July 26 1992,br,1,
54,Patrick Patterson\pattepa01,PF,6-9,230,March 14 1989,us,5,University of Kentucky
24,Norman Powell\powelno01,SG,6-4,215,May 25 1993,us,R,University of California Los Angeles
31,Terrence Ross\rosste01,SF,6-7,206,February 5 1991,us,3,University of Washington
4,Luis Scola\scolalu01,PF,6-9,240,April 30 1980,ar,8,
1,Jason Thompson\thompja02,C,6-11,250,July 21 1986,us,7,Rider University
17,Jonas Valanciunas\valanjo01,C,7-0,265,May 6 1992,lt,3,
55,Delon Wright\wrighde01,PG,6-5,183,April 26 1992,us,R,University of Utah
