No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Bradley Beal\bealbr01,SG,6-5,207,June 28 1993,us,5,University of Florida
8,Tim Frazier\fraziti01,PG,6-1,170,November 1 1990,us,3,Pennsylvania State University
13,Marcin Gortat\gortama01,C,6-11,240,February 17 1984,pl,10,
4,Ty Lawson\lawsoty01,PG,5-11,195,November 3 1987,us,8,University of North Carolina
28,Ian Mahinmi\mahinia01,C,6-11,262,November 5 1986,fr,9,
1,Chris McCullough\mcculch01,PF,6-11,200,February 5 1995,us,2,Syracuse University
20,Jodie Meeks\meeksjo01,SG,6-4,210,August 21 1987,us,8,University of Kentucky
5,Markieff Morris\morrima02,PF,6-10,245,September 2 1989,us,6,University of Kansas
12,Kelly Oubre\oubreke01,SF,6-7,205,December 9 1995,us,2,University of Kansas
22,Otto Porter\porteot01,SF,6-8,198,June 3 1993,us,4,Georgetown University
7,Devin Robinson\robinde01,SF,6-8,200,March 7 1995,us,R,University of Florida
31,Tomas Satoransky\satorto01,SG,6-7,210,October 30 1991,cz,1,
30,Mike Scott\scottmi01,PF,6-8,237,July 16 1988,us,5,University of Virginia
9,Ramon Sessions\sessira01,PG,6-3,190,April 11 1986,us,10,University of Nevada Reno
14,Jason Smith\smithja02,C,7-0,240,March 2 1986,us,9,Colorado State University
2,John Wall\walljo01,PG,6-4,210,September 6 1990,us,7,University of Kentucky
