No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
21,Patrick Beverley\beverpa01,SG,6-1,185,July 12 1988,us,5,University of Arkansas
11,Avery Bradley\bradlav01,SG,6-2,180,November 26 1990,us,7,University of Texas at Austin
7,Sam Dekker\dekkesa01,PF,6-9,230,May 6 1994,us,2,University of Wisconsin
1,Jawun Evans\evansja01,PG,6-0,185,July 26 1996,us,R,Oklahoma State University
8,Danilo Gallinari\gallida01,SF,6-10,225,August 8 1988,it,8,
32,Blake Griffin\griffbl01,PF,6-10,250,March 16 1989,us,7,University of Oklahoma
5,Montrezl Harrell\harremo01,C,6-8,240,January 26 1994,us,2,University of Louisville
34,Tobias Harris\harrito02,PF,6-9,235,July 15 1992,us,6,University of Tennessee
11,Brice Johnson\johnsbr02,PF,6-10,230,June 27 1994,us,1,University of North Carolina
33,Wesley Johnson\johnswe01,SF,6-7,215,July 11 1987,us,7,Iowa State University Syracuse University
6,DeAndre Jordan\jordade01,C,6-11,265,July 21 1988,us,9,Texas A&M University
2,Sean Kilpatrick\kilpase01,SG,6-4,210,January 6 1990,us,3,University of Cincinnati
51,Boban Marjanovic\marjabo01,C,7-3,290,August 15 1988,rs,2,
35,Willie Reed\reedwi02,C,6-10,220,May 16 1990,us,2,Saint Louis University
25,Austin Rivers\riverau01,SG,6-4,200,August 1 1992,us,5,Duke University
4,Milos Teodosic\teodomi01,PG,6-5,196,March 19 1987,rs,R,
0,Sindarius Thornwell\thornsi01,SG,6-5,215,November 15 1994,us,R,University of South Carolina
12,Tyrone Wallace\wallaty01,PG,6-5,198,June 10 1994,us,R,University of California
9,C.J. Williams\willicj01,SG,6-5,226,February 6 1990,us,R,North Carolina State University
23,Lou Williams\willilo02,SG,6-1,175,October 27 1986,us,12,
13,Jamil Wilson\wilsoja02,SF,6-7,230,November 21 1990,us,R,University of Oregon Marquette University
