No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Avery Bradley\bradlav01,SG,6-2,180,November 26 1990,us,6,University of Texas at Austin
7,Jaylen Brown\brownja02,SF,6-7,220,October 24 1996,us,R,University of California
99,Jae Crowder\crowdja01,SF,6-6,235,July 6 1990,us,4,Marquette University
30,Gerald Green\greenge01,SF,6-7,205,January 26 1986,us,9,
42,Al Horford\horfoal01,C,6-10,245,June 3 1986,do,9,University of Florida
9,Demetrius Jackson\jacksde01,PG,6-1,201,September 7 1994,us,R,University of Notre Dame
8,Jonas Jerebko\jerebjo01,PF,6-10,231,March 2 1987,se,6,
90,Amir Johnson\johnsam01,PF,6-9,240,May 1 1987,us,11,
55,Jordan Mickey\mickejo01,PF,6-8,235,July 9 1994,us,1,Louisiana State University
41,Kelly Olynyk\olynyke01,C,7-0,240,April 19 1991,ca,3,Gonzaga University
12,Terry Rozier\roziete01,PG,6-1,190,March 17 1994,us,1,University of Louisville
36,Marcus Smart\smartma01,SG,6-4,220,March 6 1994,us,2,Oklahoma State University
4,Isaiah Thomas\thomais02,PG,5-9,185,February 7 1989,us,5,University of Washington
13,James Young\youngja01,SG,6-6,215,August 16 1995,us,2,University of Kentucky
44,Tyler Zeller\zellety01,C,7-0,253,January 17 1990,us,4,University of North Carolina
