No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Eric Bledsoe\bledser01,PG,6-1,205,December 9 1989,us,5,University of Kentucky
1,Devin Booker\bookede01,SG,6-6,210,October 30 1996,us,R,University of Kentucky
41,Lorenzo Brown\brownlo01,PG,6-5,189,August 26 1990,us,2,North Carolina State University
10,Chase Budinger\budinch01,SF,6-7,209,May 22 1988,us,6,University of Arizona
4,Tyson Chandler\chandty01,C,7-1,240,October 2 1982,us,14,
8,Bryce Cotton\cottobr01,PG,6-1,165,August 11 1992,us,1,Providence College
20,Archie Goodwin\goodwar01,PG,6-5,200,August 17 1994,us,2,University of Kentucky
43,Kris Humphries\humphkr01,PF,6-9,235,February 6 1985,us,11,University of Minnesota
55,Cory Jefferson\jeffeco01,PF,6-9,218,December 26 1990,us,1,Baylor University
23,John Jenkins\jenkijo01,SG,6-4,215,March 6 1991,us,3,Vanderbilt University
0,Orlando Johnson\johnsor01,SG,6-5,220,March 11 1989,us,2,Loyola Marymount University University of California Santa Barbara
3,Brandon Knight\knighbr03,SG,6-3,195,December 2 1991,us,4,University of Kentucky
21,Alex Len\lenal01,C,7-1,250,June 16 1993,ua,2,University of Maryland
30,Jon Leuer\leuerjo01,PF,6-10,228,May 14 1989,us,4,University of Wisconsin
52,Jordan McRae\mcraejo01,PG,6-5,179,March 28 1991,us,R,University of Tennessee
11,Markieff Morris\morrima02,PF,6-10,245,September 2 1989,us,4,University of Kansas
25,Phil Pressey\pressph01,PG,5-11,175,February 17 1991,us,2,University of Missouri
14,Ronnie Price\pricero01,PG,6-2,190,June 21 1983,us,10,Nicholls State University Utah Valley State College
35,Mirza Teletovic\teletmi01,PF,6-9,242,September 18 1985,ba,3,
17,P.J. Tucker\tuckepj01,SF,6-6,245,May 5 1985,us,4,University of Texas at Austin
12,T.J. Warren\warretj01,SF,6-8,215,September 5 1993,us,1,North Carolina State University
10,Sonny Weems\weemsso01,SG,6-6,205,July 8 1986,us,3,University of Arkansas
15,Alan Williams\willial03,PF,6-8,265,January 28 1993,us,R,University of California Santa Barbara
