No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Jordan Bell\belljo01,C,6-9,224,January 7 1995,us,R,University of Oregon
25,Chris Boucher\bouchch01,PF,6-10,200,January 11 1993,lc,R,University of Oregon
18,Omri Casspi\casspom01,SF,6-9,225,June 22 1988,il,8,
4,Quinn Cook\cookqu01,PG,6-2,179,March 23 1993,us,1,Duke University
30,Stephen Curry\curryst01,PG,6-3,190,March 14 1988,us,8,Davidson College
35,Kevin Durant\duranke01,PF,6-9,240,September 29 1988,us,10,University of Texas at Austin
23,Draymond Green\greendr01,PF,6-7,230,March 4 1990,us,5,Michigan State University
9,Andre Iguodala\iguodan01,SF,6-6,215,January 28 1984,us,13,University of Arizona
15,Damian Jones\jonesda03,C,7-0,245,June 30 1995,us,1,Vanderbilt University
34,Shaun Livingston\livinsh01,PG,6-7,192,September 11 1985,us,12,
5,Kevon Looney\looneke01,C,6-9,220,February 6 1996,us,2,University of California Los Angeles
0,Patrick McCaw\mccawpa01,SG,6-7,185,October 25 1995,us,1,University of Nevada Las Vegas
1,JaVale McGee\mcgeeja01,C,7-0,270,January 19 1988,us,9,University of Nevada Reno
27,Zaza Pachulia\pachuza01,C,6-11,270,February 10 1984,ge,14,
11,Klay Thompson\thompkl01,SG,6-7,215,February 8 1990,us,6,Washington State University
3,David West\westda01,C,6-9,250,August 29 1980,us,14,Xavier University
6,Nick Young\youngni01,SG,6-7,210,June 1 1985,us,10,University of Southern California
