No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
6,Alan Anderson\anderal01,SF,6-6,220,October 16 1982,us,4,Michigan State University
0,Andray Blatche\blatcan01,PF,6-11,235,August 22 1986,us,8,
98,Jason Collins\collija04,C,7-0,255,December 2 1978,us,12,Stanford University
30,Reggie Evans\evansre01,PF,6-8,245,May 18 1980,us,11,University of Iowa
2,Kevin Garnett\garneke01,C,6-11,240,May 19 1976,us,18,
13,Jorge Gutierrez\gutiejo01,PG,6-3,191,December 27 1988,mx,R,University of California
7,Joe Johnson\johnsjo02,SG,6-7,240,June 29 1981,us,12,University of Arkansas
47,Andrei Kirilenko\kirilan01,PF,6-9,220,February 18 1981,ru,11,
14,Shaun Livingston\livinsh01,PG,6-7,192,September 11 1985,us,8,
11,Brook Lopez\lopezbr01,C,7-0,270,April 1 1988,us,5,Stanford University
34,Paul Pierce\piercpa01,SF,6-7,235,October 13 1977,us,15,University of Kansas
1,Mason Plumlee\plumlma01,C,6-11,235,March 5 1990,us,R,Duke University
20,Tornike Shengelia\shengto01,SF,6-9,217,October 5 1991,ge,1,
10,Tyshawn Taylor\tayloty01,PG,6-3,185,April 12 1990,us,1,University of Kansas
12,Marquis Teague\teaguma01,SG,6-2,189,February 28 1993,us,1,University of Kentucky
33,Mirza Teletovic\teletmi01,SF,6-9,242,September 18 1985,ba,1,
31,Jason Terry\terryja01,PG,6-2,185,September 15 1977,us,14,University of Arizona
10,Marcus Thornton\thornma01,SG,6-4,205,June 5 1987,us,4,Louisiana State University
8,Deron Williams\willide01,PG,6-3,200,June 26 1984,us,8,University of Illinois at Urbana-Champaign
