No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
6,Alan Anderson\anderal01,SG,6-6,220,October 16 1982,us,5,Michigan State University
44,Bojan Bogdanovic\bogdabo02,SF,6-8,216,April 18 1989,ba,R,
22,Markel Brown\brownma02,SG,6-3,190,January 29 1992,us,R,Oklahoma State University
55,Earl Clark\clarkea01,PF,6-10,225,January 17 1988,us,5,University of Louisville
20,Brandon Davies\daviebr01,PF,6-10,240,July 25 1991,us,1,Brigham Young University
2,Kevin Garnett\garneke01,PF,6-11,240,May 19 1976,us,19,
13,Jorge Gutierrez\gutiejo01,PG,6-3,191,December 27 1988,mx,1,University of California
0,Jarrett Jack\jackja01,PG,6-3,200,October 28 1983,us,9,Georgia Institute of Technology
21,Cory Jefferson\jeffeco01,PF,6-9,218,December 26 1990,us,R,Baylor University
7,Joe Johnson\johnsjo02,SG,6-7,240,June 29 1981,us,13,University of Arkansas
9,Jerome Jordan\jordaje01,C,7-0,253,September 29 1986,jm,1,University of Tulsa
10,Sergey Karasev\karasse01,SG,6-7,208,October 26 1993,ru,1,
47,Andrei Kirilenko\kirilan01,SF,6-9,220,February 18 1981,ru,12,
11,Brook Lopez\lopezbr01,C,7-0,270,April 1 1988,us,6,Stanford University
14,Darius Morris\morrida01,PG,6-4,190,January 3 1991,us,3,University of Michigan
1,Mason Plumlee\plumlma01,C,6-11,235,March 5 1990,us,1,Duke University
33,Mirza Teletovic\teletmi01,PF,6-9,242,September 18 1985,ba,2,
8,Deron Williams\willide01,PG,6-3,200,June 26 1984,us,9,University of Illinois at Urbana-Champaign
30,Thaddeus Young\youngth01,PF,6-8,221,June 21 1988,us,7,Georgia Institute of Technology
