No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Trevor Ariza\arizatr01,SF,6-8,215,June 30 1985,us,10,University of California Los Angeles
2,Patrick Beverley\beverpa01,PG,6-1,185,July 12 1988,us,2,University of Arkansas
10,Tarik Black\blackta01,C,6-9,250,November 22 1991,us,R,University of Memphis University of Kansas
33,Corey Brewer\breweco01,SF,6-9,186,March 5 1986,us,7,University of Florida
0,Isaiah Canaan\canaais01,PG,6-0,201,May 21 1991,us,1,Murray State University
15,Clint Capela\capelca01,C,6-10,240,May 18 1994,ch,R,
30,Troy Daniels\danietr01,SG,6-4,205,July 15 1991,us,1,Virginia Commonwealth University
8,Joey Dorsey\dorsejo01,PF,6-8,268,December 16 1983,us,3,University of Memphis
32,Francisco Garcia\garcifr01,SF,6-7,195,December 31 1981,do,9,University of Louisville
13,James Harden\hardeja01,SG,6-5,220,August 26 1989,us,5,Arizona State University
12,Dwight Howard\howardw01,C,6-11,265,December 8 1985,us,10,
3,Nick Johnson\johnsni01,SG,6-3,202,December 22 1992,us,R,University of Arizona
6,Terrence Jones\joneste01,PF,6-9,252,January 9 1992,us,2,University of Kentucky
32,K.J. McDaniels\mcdankj01,SG,6-6,205,February 9 1993,us,R,Clemson University
20,Donatas Motiejunas\motiedo01,PF,7-0,222,September 20 1990,lt,2,
16,Kostas Papanikolaou\papanko01,SF,6-8,225,July 31 1990,gr,R,
9,Pablo Prigioni\prigipa01,PG,6-3,185,May 17 1977,ar,2,
88,Alexey Shved\shvedal01,SG,6-6,190,December 16 1988,ru,2,
5,Josh Smith\smithjo03,PF,6-9,225,December 5 1985,us,10,
31,Jason Terry\terryja01,SG,6-2,185,September 15 1977,us,15,University of Arizona
