No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Jared Cunningham\cunnija01,SG,6-4,195,May 22 1991,us,3,Oregon State University
8,Matthew Dellavedova\dellama01,PG,6-4,200,September 8 1990,au,2,Saint Mary's College of California
9,Channing Frye\fryech01,C,7-0,255,May 17 1983,us,9,University of Arizona
12,Joe Harris\harrijo01,SG,6-6,218,September 6 1991,us,1,University of Virginia
2,Kyrie Irving\irvinky01,PG,6-3,193,March 23 1992,au,4,Duke University
23,LeBron James\jamesle01,SF,6-8,250,December 30 1984,us,12,
24,Richard Jefferson\jefferi01,SF,6-7,233,June 21 1980,us,14,University of Arizona
30,Dahntay Jones\jonesda02,SF,6-6,225,December 27 1980,us,11,Rutgers University Duke University
1,James Jones\jonesja02,SF,6-8,218,October 4 1980,us,12,University of Miami
14,Sasha Kaun\kaunsa01,C,6-11,260,May 8 1985,ru,R,University of Kansas
0,Kevin Love\loveke01,PF,6-10,251,September 7 1988,us,7,University of California Los Angeles
12,Jordan McRae\mcraejo01,PG,6-5,179,March 28 1991,us,R,University of Tennessee
20,Timofey Mozgov\mozgoti01,C,7-1,275,July 16 1986,ru,5,
4,Iman Shumpert\shumpim01,SG,6-5,215,June 26 1990,us,4,Georgia Institute of Technology
5,J.R. Smith\smithjr01,SG,6-6,225,September 9 1985,us,11,
13,Tristan Thompson\thomptr01,PF,6-10,238,March 13 1991,ca,4,University of Texas at Austin
17,Anderson Varejao\varejan01,C,6-10,273,September 28 1982,br,11,
52,Mo Williams\willima01,PG,6-1,198,December 19 1982,us,12,University of Alabama
